,Nome,CPF,Saldo_Inicial_CC,data
0,Antonio,00000000006,875.5,01/04/2022
1,Arthur,00000000009,221.12,01/04/2022
2,José,00000000002,917.78,01/04/2022
3,João,00000000003,321.84,01/04/2022
4,Luiz,00000000008,832.63,01/04/2022
5,Marcos,00000000007,365.88,01/04/2022
6,Maria,00000000001,523.86,01/04/2022
7,Paulo,00000000004,271.51,01/04/2022
8,Pedro,00000000005,225.55,01/04/2022
9,Bob,00000000012,0.00,02/04/2022
10,Guilherme,00000000010,600.35,02/04/2022
11,Antonio,00000000006,1320.49,02/04/2022
12,Arthur,00000000009,221.12,02/04/2022
13,José,00000000002,917.78,02/04/2022
14,João,00000000003,321.84,02/04/2022
15,Luiz,00000000008,832.63,02/04/2022
16,Marcos,00000000007,792.41,02/04/2022
17,Maria,00000000001,523.86,02/04/2022
18,Paulo,00000000004,513.13,02/04/2022
19,Pedro,00000000005,482.69,02/04/2022
20,Bob,00000000012,0.00,03/04/2022
21,Arthur,00000000009,221.12,03/04/2022
22,Guilherme,00000000010,325.61,03/04/2022
23,Antonio,00000000006,1320.49,03/04/2022
24,Pedro,00000000005,482.69,03/04/2022
25,José,00000000002,1466.71,03/04/2022
26,Paulo,00000000004,513.13,03/04/2022
27,João,00000000003,12.57,03/04/2022
28,Maria,00000000001,1415.18,03/04/2022
29,Marcos,00000000007,992.41,03/04/2022
30,Luiz,00000000008,1022.99,03/04/2022
31,Danilo,00000000015,1200.00,03/04/2022
32,Helena,00000000011,768.36,03/04/2022
